lemma,n_synsets
aboriginal,6
allochtoon,0
baboo,1
barbarian,5
batavia,0
berber,8
black,620
bombay,2
burma,18
bush negro,0
calcutta,5
caucasian,13
colored,338
coolie,1
descent,77
developing nations,1
disabled,12
discover,31
dwarf,41
eskimo,9
ethnic groups,19
ethnicity,2
exotic,6
first world,0
footmen,2
full blood,0
gay,12
gypsy,10
half-blood,0
half-breed,2
handicap,10
headhunter,2
hermaphrodite,4
homo,9
homosexual,17
hottentot,1
immigrant,11
indian,305
indigenous,24
indo,29
inuit,2
kaffir,2
lilliputian,5
low-income countries,0
madras,4
maroon,19
medicine man,1
mestizo,1
mohammedan,2
mongoloid,5
moor,16
mulatto,2
métis,1
native,603
negro,5
oriental,16
page,75
primitive,124
primitivism,2
pygmy,9
queer,5
race,185
retarded,5
roots,193
second world,0
servant,28
slave,46
southern rhodesia,0
third world,0
traditional,66
trans,1
transvestite,2
tribe,64
western,721
white,1487
