,term,hit_id
0,aboriginal,Q1493806
1,aboriginal,Q113211688
2,aboriginal,Q3699302
3,aboriginal,Q115959477
4,aboriginal,Q6922014
5,aboriginal,Q7721134
6,aboriginal,Q106809106
7,aboriginal,Q4668330
8,aboriginals,Q5260661
9,aboriginals,Q114875084
10,aboriginals,Q16211163
11,baboo,Q28911267
12,baboo,Q56280783
13,baboo,Q23649752
14,baboo,Q65999266
15,barbarian,Q48997993
16,barbarian,Q79979564
17,barbarian,Q59582349
18,barbarian,Q4388317
19,barbarian,Q99691584
20,barbarians,Q112333158
21,barbarians,Q113577293
22,barbarians,Q97394741
23,barbarians,Q89943967
24,barbarians,Q59624039
25,batavia,Q38164557
26,batavia,Q5453284
27,batavia,Q95690836
28,batavia,Q5881001
29,batavia,Q106494090
30,batavia,Q106651867
31,batavia,Q42335755
32,batavia,Q850526
33,batavia,Q7888253
34,berber,Q25185697
35,berber,Q21039444
36,berber,Q7598268
37,berber,Q4891027
38,berber,Q110516589
39,berber,Q404150
40,berber,Q61053330
41,berber,Q1071266
42,berber,Q16936691
43,berber,Q112870992
44,berbers,Q793201
45,berbers,Q2712462
46,berbers,Q13275088
47,berbers,Q8885542
48,berbers,Q8603939
49,berbers,Q8509640
50,black,Q105958972
51,black,Q1501447
52,black,Q106830522
53,black,Q365539
54,black,Q388315
55,black,Q20251258
56,black,Q3779980
57,black,Q86309895
58,black,Q86735
59,blacker,Q19078870
60,blacker,Q107431542
61,blacker,Q108837781
62,blacker,Q19048093
63,blacker,Q21483330
64,blacker,Q66765178
65,blacks,Q19039958
66,blacks,Q23900409
67,blacks,Q60791206
68,blacks,Q11678010
69,blacks,Q109437266
70,bombay,Q56344527
71,bombay,Q27069096
72,bombay,Q107055858
73,bombay,Q63155583
74,bombay,Q93703518
75,bombay,Q2627082
76,bombay,Q107055692
77,burma,Q4765854
78,burma,Q7675176
79,burma,Q865714
80,burma,Q67700201
81,burma,Q99584857
82,burma,Q2376315
83,burma,Q67687938
84,burma,Q67698557
85,burma,Q3446298
86,calcutta,Q51520313
87,calcutta,Q107058893
88,calcutta,Q67687938
89,calcutta,Q107058759
90,calcutta,Q51416687
91,calcutta,Q107058892
92,caucasian,Q29008195
93,caucasian,Q65353181
94,caucasian,Q64677140
95,caucasian,Q67125520
96,caucasian,Q65090850
97,caucasian,Q7129609
98,caucasian,Q64725228
99,caucasian,Q65470762
100,caucasians,Q64336553
101,colored,Q111734197
102,colored,Q2722041
103,colored,Q110699729
104,colored,Q1627085
105,colored,Q87069490
106,colored,Q599820
107,colored,Q3402019
108,colored,Q67085833
109,coolie,Q3568519
110,coolie,Q4036526
111,coolies,Q114655389
112,coolies,Q7727562
113,coolies,Q23758885
114,coolies,Q104308634
115,descent,Q640624
116,descent,Q30588174
117,descent,Q56457535
118,descent,Q16950364
119,descent,Q64335784
120,developing nations,Q1144513
121,developing nations,Q110867855
122,developing nations,Q67620122
123,disabled,Q92273135
124,disabled,Q105974436
125,discover,Q114345534
126,discover,Q112181328
127,discover,Q26963042
128,discover,Q110043630
129,discover,Q110043633
130,discover,Q112883671
131,discover,Q110043571
132,discover,Q110142387
133,discover,Q77619598
134,discover,Q110043626
135,dwarf,Q5871
136,dwarf,Q17480821
137,dwarf,Q5656368
138,dwarf,Q82228624
139,dwarf,Q66311406
140,dwarf,Q3406262
141,dwarf,Q5178691
142,dwarfs,Q3138431
143,dwarfs,Q16999315
144,dwarfs,Q1684335
145,dwarfs,Q111807950
146,dwarfs,Q3335212
147,dwarves,Q5790640
148,dwarves,Q8448234
149,eskimo,Q65951655
150,eskimo,Q27992
151,eskimo,Q49637714
152,eskimo,Q2268108
153,eskimo,Q3784315
154,eskimo,Q21550920
155,eskimo,Q22423345
156,eskimos,Q60474532
157,eskimos,Q5339046
158,eskimos,Q4927438
159,ethnic group,Q17157099
160,ethnic group,Q107182188
161,ethnic group,Q3075017
162,ethnic group,Q106727146
163,ethnic group,Q106537557
164,ethnic group,Q108788952
165,ethnic group,Q3704243
166,ethnic groups,Q65716734
167,ethnic groups,Q112950552
168,ethnic groups,Q16141544
169,ethnic groups,Q3021105
170,ethnic groups,Q110645198
171,ethnicities,Q110645198
172,ethnicities,Q5404320
173,ethnicity,Q30103
174,ethnicity,Q7278939
175,ethnicity,Q7278941
176,ethnicity,Q111972519
177,ethnicity,Q3021105
178,ethnicity,Q2509271
179,ethnicity,Q115074876
180,exotic,Q69307837
181,exotic,Q112884973
182,exotic,Q111964566
183,exotic,Q51413891
184,exotic,Q51376064
185,exotic,Q111805282
186,exotic,Q76570397
187,exotic,Q1065449
188,exotic,Q112903808
189,first world,Q5454096
190,first world,Q7570430
191,first world,Q56668704
192,first world,Q5454266
193,first world,Q114635888
194,first world,Q104724282
195,first world,Q361
196,first world,Q107089754
197,footman,Q110294727
198,footman,Q110294725
199,footman,Q26736711
200,footman,Q5247283
201,gay,Q5528686
202,gay,Q109745085
203,gay,Q105430748
204,gay,Q116295197
205,gay,Q108861660
206,gay,Q24936246
207,gayer,Q110550290
208,gayer,Q111661374
209,gays,Q6530271
210,gays,Q1890555
211,gays,Q26253154
212,gays,Q6103720
213,gypsies,Q7776882
214,gypsies,Q8060
215,gypsies,Q107184119
216,gypsies,Q105395324
217,gypsy,Q76535276
218,gypsy,Q106300527
219,gypsy,Q12766588
220,gypsy,Q30626367
221,gypsy,Q105545576
222,gypsy,Q74497473
223,gypsy,Q7437768
224,half-blood,Q107724252
225,half-blood,Q8337320
226,half-blood,Q12060105
227,half-blood,Q8337315
228,half-blood,Q46887
229,half-blood,Q30797423
230,half-blood,Q5027225
231,half-blood,Q106375347
232,half-blood,Q5641553
233,half-blood,Q66118879
234,half-breed,Q5641557
235,half-breed,Q66268758
236,half-breed,Q64402305
237,half-breed,Q59935943
238,half-breed,Q64402293
239,handicap,Q66084320
240,handicap,Q87930723
241,handicap,Q28867598
242,handicaps,Q77212708
243,headhunter,Q5689592
244,headhunter,Q4023335
245,headhunter,Q5354995
246,headhunter,Q64618528
247,headhunter,Q66805206
248,headhunter,Q4040469
249,headhunters,Q3655414
250,headhunters,Q5689602
251,headhunters,Q10548483
252,hermaphrodite,Q22294370
253,hermaphrodite,Q245104
254,hermaphrodite,Q22294369
255,homo,Q50289660
256,homo,Q50298815
257,homo,Q1164073
258,homosexual,Q3733035
259,homosexual,Q5528686
260,homosexual,Q771738
261,homosexual,Q65538842
262,homosexual,Q109480297
263,homosexuals,Q15647039
264,hottentots,Q12790488
265,immigrant,Q26502852
266,immigrant,Q38251912
267,immigrant,Q95686258
268,immigrant,Q49701178
269,immigrant,Q30284014
270,immigrant,Q94423772
271,immigrant,Q49933888
272,immigrant,Q28447526
273,immigrant,Q93784933
274,immigrant,Q72377261
275,immigrants,Q111809376
276,immigrants,Q9340793
277,immigrants,Q4745635
278,immigrants,Q2900527
279,immigrants,Q1017280
280,immigrants,Q59623343
281,immigrants,Q112042157
282,immigrants,Q111195094
283,immigrants,Q3309134
284,immigrants,Q19997476
285,indian,Q7999949
286,indian,Q2633888
287,indian,Q109132570
288,indians,Q318806
289,indians,Q63441214
290,indians,Q11334570
291,indians,Q56351237
292,indians,Q28943952
293,indigenous,Q5021280
294,indigenous,Q5712544
295,indigenous,Q5937166
296,indigenous,Q85739476
297,indigenous,Q5677983
298,indo,Q471271
299,indo,Q65285212
300,indo,Q51470339
301,indo,Q67680844
302,indo,Q16847444
303,indo,Q1421825
304,indo,Q771861
305,indo,Q511250
306,inuit,Q28866226
307,inuit,Q104846812
308,inuit,Q28070
309,inuit,Q2659059
310,inuit,Q51510719
311,inuit,Q30264646
312,inuit,Q65089304
313,kaffir,Q20504683
314,kaffir,Q6346096
315,madras,Q19966788
316,madras,Q56344527
317,madras,Q106961031
318,madras,Q5256034
319,madras,Q51395660
320,madras,Q94422016
321,madras,Q107058893
322,madras,Q107058759
323,madras,Q19893450
324,madras,Q107058892
325,maroon,Q28548632
326,maroon,Q62091856
327,maroon,Q66322822
328,maroon,Q58214641
329,maroon,Q66322088
330,medicine man,Q79341162
331,medicine man,Q79340213
332,medicine man,Q79307444
333,medicine man,Q79279221
334,medicine men,Q110504446
335,mestizo,Q57234154
336,mestizo,Q112902331
337,mestizo,Q57234140
338,mestizos,Q23686434
339,metis,Q51437674
340,metis,Q7399748
341,metis,Q51510253
342,metis,Q51479329
343,mohammedan,Q4274182
344,moor,Q17674636
345,moor,Q17676206
346,moor,Q17649248
347,moor,Q17664967
348,moor,Q17676165
349,moor,Q17663228
350,moor,Q17674904
351,moor,Q17664853
352,moor,Q17658212
353,moors,Q59642905
354,moors,Q26441671
355,moors,Q5884558
356,moors,Q96373805
357,moors,Q84998635
358,moors,Q49051413
359,moors,Q79928890
360,mulatto,Q99737100
361,mulatto,Q19022984
362,mulatto,Q51681794
363,métis,Q24890406
364,métis,Q5363255
365,métis,Q7123346
366,métis,Q6406294
367,métis,Q7158488
368,métis,Q6950139
369,native,Q112852000
370,native,Q112115672
371,native,Q111805236
372,native,Q111805282
373,native,Q25312714
374,native,Q4041662
375,native,Q169480
376,native,Q112953579
377,native,Q112115661
378,natives,Q112891776
379,natives,Q7280498
380,natives,Q59577515
381,negro,Q67093781
382,negro,Q106318934
383,negro,Q7570174
384,negro,Q111709303
385,negro,Q48537
386,negro,Q55932509
387,negro,Q19884629
388,negroes,Q13534615
389,negroes,Q19884625
390,negroes,Q66498909
391,negros,Q112899718
392,negros,Q56810851
393,negros,Q56893358
394,negros,Q31502760
395,negros,Q17425749
396,negros,Q25193069
397,negros,Q3499107
398,oriental,Q106912034
399,oriental,Q106912206
400,oriental,Q52856167
401,oriental,Q1339134
402,oriental,Q105395411
403,oriental,Q465925
404,oriental,Q106912151
405,oriental,Q29612143
406,orientals,Q112259538
407,orientals,Q115982235
408,page,Q1197154
409,page,Q21510852
410,page,Q110768064
411,page,Q15647814
412,page,Q51845721
413,page,Q67131190
414,page,Q27924673
415,page,Q4048515
416,page,Q21281405
417,pages,Q110768064
418,pages,Q102746314
419,pages,Q4663903
420,pages,Q108130893
421,pages,Q2704141
422,pages,Q23765057
423,pages,Q8386460
424,pages,Q783209
425,pages,Q1931587
426,primitive,Q3075219
427,primitive,Q112836058
428,primitive,Q42196400
429,primitive,Q112936493
430,primitive,Q1345851
431,primitives,Q4041442
432,primitives,Q113668132
433,primitives,Q97618081
434,primitives,Q7888922
435,primitivism,Q59580543
436,primitivism,Q113469898
437,pygmy,Q99972386
438,pygmy,Q19097377
439,pygmy,Q4362444
440,pygmy,Q106911929
441,queer,Q6502543
442,queer,Q92560179
443,queer,Q110471601
444,queers,Q7271168
445,race,Q28528178
446,race,Q2090033
447,race,Q1378555
448,race,Q16000306
449,races,Q2560112
450,races,Q5404305
451,races,Q7279580
452,races,Q7166094
453,retarded,Q17119158
454,retarded,Q55782884
455,retarded,Q7987389
456,retarded,Q16979375
457,retarded,Q1320019
458,roots,Q108188993
459,roots,Q756747
460,roots,Q5050952
461,roots,Q2722903
462,roots,Q26883875
463,roots,Q99779344
464,roots,Q2594025
465,roots,Q28503767
466,roots,Q60790239
467,roots,Q115846399
468,second world,Q104724284
469,second world,Q104724189
470,second world,Q102230692
471,second world,Q106225584
472,second world,Q56668704
473,second world,Q1820046
474,second world,Q2174038
475,second world,Q113653595
476,servant,Q76904091
477,servant,Q16642509
478,servant,Q28105787
479,servant,Q283086
480,servant,Q66321973
481,servant,Q61939714
482,servant,Q67641760
483,servant,Q77177630
484,servants,Q104711365
485,servants,Q113868231
486,servants,Q115494378
487,servants,Q99645548
488,servants,Q2101508
489,servants,Q16642509
490,slave,Q22025491
491,slave,Q7539168
492,slave,Q535519
493,slave,Q22092280
494,slave,Q2895269
495,slave,Q2981541
496,slave,Q4921545
497,slave,Q7539172
498,slave,Q3682195
499,slaves,Q343039
500,slaves,Q28941984
501,slaves,Q96754266
502,slaves,Q5315497
503,slaves,Q4676640
504,slaves,Q5160146
505,slaves,Q4742335
506,southern rhodesia,Q19022827
507,southern rhodesia,Q5148418
508,southern rhodesia,Q23198375
509,southern rhodesia,Q19022898
510,southern rhodesia,Q19113466
511,southern rhodesia,Q19022866
512,southern rhodesia,Q67620156
513,southern rhodesia,Q19022891
514,southern rhodesia,Q19113463
515,third world,Q7234128
516,third world,Q57619870
517,third world,Q112906487
518,third world,Q106375225
519,third world,Q112846558
520,third world,Q106246722
521,traditional,Q7248841
522,traditional,Q189329
523,traditional,Q53858826
524,traditional,Q98528260
525,traditional,Q839328
526,traditional,Q85797769
527,traditional,Q7832276
528,traditional,Q7988292
529,traditional,Q52945207
530,traditional,Q115590121
531,trans,Q107502361
532,trans,Q115324835
533,trans,Q55961209
534,transvestite,Q115570533
535,transvestite,Q115570793
536,tribe,Q22633
537,tribe,Q111814157
538,tribe,Q3873419
539,tribe,Q1249960
540,tribe,Q112676493
541,tribe,Q626136
542,tribe,Q115759380
543,tribes,Q65775606
544,tribes,Q106882082
545,tribes,Q22633
546,tribes,Q104156985
547,tribes,Q357670
548,tribes,Q7322271
549,tribes,Q16120981
550,tribes,Q111814111
551,tribes,Q319421
552,western,Q7234128
553,western,Q63372322
554,western,Q107017283
555,western,Q65308004
556,western,Q2512021
557,western,Q2704365
558,western,Q110143462
559,western,Q2995893
560,western,Q3570024
561,western,Q1637806
562,westerns,Q107262835
563,westerns,Q107225725
564,westerns,Q107262789
565,westerns,Q107406030
566,white,Q7994501
567,white,Q114968312
568,white,Q111814131
569,white,Q477317
570,white,Q6880109
571,white,Q24062106
572,white,Q639836
573,white,Q2906080
574,whiter,Q62917984
575,whites,Q59937358
576,whites,Q26597222
577,whites,Q111637086
578,whites,Q7994739
579,whites,Q111994467
