,lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total
0,aboriginal,nl,45,7,11,63
1,achterlijk,nl,1,0,0,1
2,afkomst,nl,4,12,126,142
3,allochtoon,nl,5,1,0,6
4,baboe,nl,2,1,0,3
5,barbaar,nl,8,1,0,9
6,batavia,nl,89,21,44,154
7,bediende,nl,77,6,144,227
8,berber,nl,26,2,1,29
9,birma,nl,35,11,3,49
10,blank,nl,127,21,35,183
11,bombay,nl,82,20,105,207
12,boslandcreool,nl,0,1,0,1
13,bosneger,nl,0,2,0,2
14,calcutta,nl,129,47,269,445
15,derde wereld,nl,5,0,0,5
16,dwerg,nl,64,20,77,161
17,eerste wereld,nl,1,0,0,1
18,eskimo,nl,65,5,29,99
19,etniciteit,nl,2,2,10,14
20,etnische groep,nl,7,1,9241,9249
21,exotisch,nl,38,2,8,48
22,gay,nl,299,35,241,575
23,gehandicapte,nl,20,5,31,56
24,gekleurd,nl,12,0,15,27
25,halfbloed,nl,4,1,0,5
26,handicap,nl,32,5,11,48
27,hermafrodiet,nl,4,1,0,5
28,homo,nl,83,28,3123,3234
29,homoseksualiteit,nl,20,1,4,25
30,homoseksueel,nl,11,4,11,26
31,hottentot,nl,0,2,0,2
32,inboorling,nl,1,0,0,1
33,indiaan,nl,32,8,9183,9223
34,indisch,nl,320,111,143,574
35,indo,nl,71,22,66,159
36,inheems,nl,45,11,63,119
37,inlander,nl,4,2,10,16
38,inuk,nl,18,5,3,26
39,islamiet,nl,0,2,0,2
40,jap,nl,26,3,0,29
41,jappenkamp,nl,3,1,3,7
42,kaffer,nl,2,0,1,3
43,kaukasisch,nl,24,16,47,87
44,knecht,nl,61,7,4,72
45,koelie,nl,2,0,0,2
46,koppensneller,nl,2,0,0,2
47,lagelonenland,nl,1,0,0,1
48,lilliputter,nl,1,2,0,3
49,madras,nl,63,3,61,127
50,marron,nl,28,2,15,45
51,medicijnman,nl,5,1,3,9
52,mesties,nl,2,1,0,3
53,mohammedaan,nl,1,2,0,3
54,mongool,nl,36,7,49,92
55,moor,nl,545,39,139,723
56,mulat,nl,8,2,0,10
57,métis,nl,25,4,10,39
58,neger,nl,30,5,8,43
59,ontdekken,nl,14,0,1,15
60,ontwikkelingsland,nl,2,3,6,11
61,oriëntaals,nl,15,2,3,20
62,page,nl,54,59,10,123
63,politionele actie,nl,3,1,0,4
64,primitief,nl,27,8,7,42
65,primitivisme,nl,1,1,0,2
66,pygmee,nl,3,1,1,5
67,queer,nl,71,0,28,99
68,ras,nl,591,43,88,722
69,roots,nl,164,7,62,233
70,slaaf,nl,43,7,35,85
71,stam,nl,56,20,161,237
72,traditioneel,nl,386,60,268,714
73,trans,nl,348,56,40,444
74,travestiet,nl,0,1,3,4
75,tweede wereld,nl,2,1,0,3
76,volbloed,nl,5,2,0,7
77,westers,nl,139,44,80,263
78,wit,nl,1654,439,9508,11601
79,zigeuner,nl,28,6,0,34
80,zuid-rhodesië,nl,11,0,6,17
81,zwart,nl,1057,236,231,1524
