,lemma,lang,odwn_le,odwn_sense_def,odwn_synset_def,odwn_sense_ex,odwn_total
0,aboriginal,nl,1,0,0,0,1
1,achterlijk,nl,1,0,0,0,1
2,afkomst,nl,2,0,0,4,6
3,allochtoon,nl,1,0,0,1,2
4,baboe,nl,1,0,0,0,1
5,barbaar,nl,3,0,0,2,5
6,batavia,nl,0,0,0,0,0
7,bediende,nl,1,0,0,1,2
8,berber,nl,1,0,0,0,1
9,birma,nl,1,0,0,0,1
10,blank,nl,1,0,0,2,3
11,bombay,nl,1,0,0,0,1
12,boslandcreool,nl,0,0,0,0,0
13,bosneger,nl,1,0,0,0,1
14,calcutta,nl,1,0,0,0,1
15,derde wereld,nl,0,0,0,0,0
16,dwerg,nl,1,0,0,0,1
17,eerste wereld,nl,0,0,0,0,0
18,eskimo,nl,1,0,0,0,1
19,etniciteit,nl,1,0,0,0,1
20,etnische groep,nl,0,0,0,0,0
21,exotisch,nl,0,0,0,0,0
22,gay,nl,1,0,0,0,1
23,gehandicapte,nl,1,0,0,5,6
24,gekleurd,nl,0,0,0,0,0
25,halfbloed,nl,1,0,0,0,1
26,handicap,nl,1,0,0,6,7
27,hermafrodiet,nl,1,0,0,0,1
28,homo,nl,1,0,0,3,4
29,homoseksualiteit,nl,2,0,0,0,2
30,homoseksueel,nl,1,0,0,0,1
31,hottentot,nl,1,0,0,0,1
32,inboorling,nl,1,0,0,1,2
33,indiaan,nl,1,0,0,0,1
34,indisch,nl,0,0,0,0,0
35,indo,nl,0,0,0,0,0
36,inheems,nl,0,0,0,0,0
37,inlander,nl,1,0,0,1,2
38,inuk,nl,1,0,0,0,1
39,islamiet,nl,1,0,0,0,1
40,jap,nl,1,0,0,0,1
41,jappenkamp,nl,2,0,0,2,4
42,kaffer,nl,1,0,0,0,1
43,kaukasisch,nl,1,0,0,0,1
44,knecht,nl,1,0,0,1,2
45,koelie,nl,2,0,0,0,2
46,koppensneller,nl,1,0,0,0,1
47,lagelonenland,nl,0,0,0,0,0
48,lilliputter,nl,1,0,0,0,1
49,madras,nl,1,0,0,0,1
50,marron,nl,0,0,0,0,0
51,medicijnman,nl,1,0,0,0,1
52,mesties,nl,1,0,0,0,1
53,mohammedaan,nl,1,0,0,0,1
54,mongool,nl,2,0,0,0,2
55,moor,nl,2,0,0,1,3
56,mulat,nl,1,0,0,0,1
57,métis,nl,0,0,0,0,0
58,neger,nl,1,0,0,0,1
59,ontdekken,nl,1,0,0,0,1
60,ontwikkelingsland,nl,1,0,0,1,2
61,oriëntaals,nl,0,0,0,0,0
62,page,nl,1,0,0,0,1
63,politionele actie,nl,0,0,0,0,0
64,primitief,nl,1,1,0,0,2
65,primitivisme,nl,0,0,0,0,0
66,pygmee,nl,1,0,0,0,1
67,queer,nl,0,0,0,0,0
68,ras,nl,0,0,0,0,0
69,roots,nl,0,0,0,0,0
70,slaaf,nl,1,0,0,1,2
71,stam,nl,1,0,0,2,3
72,traditioneel,nl,0,0,0,0,0
73,trans,nl,1,0,0,0,1
74,travestiet,nl,1,0,0,0,1
75,tweede wereld,nl,0,0,0,0,0
76,volbloed,nl,0,0,0,0,0
77,westers,nl,0,0,0,0,0
78,wit,nl,0,0,0,0,0
79,zigeuner,nl,1,0,0,3,4
80,zuid-rhodesië,nl,0,0,0,0,0
81,zwart,nl,2,1,0,1,4
