,lemma,lang,pwn_le,pwn_def,pwn_ex,pwn_total
0,aboriginal,en,2,0,2,4
1,allochtoon,en,0,0,0,0
2,baboo,en,0,0,0,0
3,barbarian,en,3,0,1,4
4,batavia,en,0,0,0,0
5,berber,en,1,0,0,1
6,black,en,2,0,1,3
7,bombay,en,1,0,0,1
8,burma,en,1,0,0,1
9,bush negro,en,0,0,0,0
10,calcutta,en,1,0,0,1
11,caucasian,en,2,2,0,4
12,colored,en,1,0,0,1
13,coolie,en,1,0,0,1
14,descent,en,3,0,0,3
15,developing nations,en,0,0,0,0
16,disabled,en,2,0,2,4
17,discover,en,1,0,0,1
18,dwarf,en,1,0,0,1
19,eskimo,en,1,1,0,2
20,ethnic groups,en,0,0,0,0
21,ethnicity,en,1,0,1,2
22,exotic,en,2,0,5,7
23,first world,en,0,0,0,0
24,footmen,en,1,0,0,1
25,full blood,en,0,0,0,0
26,gay,en,2,0,0,2
27,gypsy,en,2,1,0,3
28,half-blood,en,0,0,0,0
29,half-breed,en,1,0,0,1
30,handicap,en,2,0,0,2
31,headhunter,en,1,0,0,1
32,hermaphrodite,en,1,0,0,1
33,homo,en,1,0,0,1
34,homosexual,en,2,0,0,2
35,hottentot,en,0,0,0,0
36,immigrant,en,1,0,0,1
37,indian,en,1,0,1,2
38,indigenous,en,1,0,1,2
39,indo,en,0,0,0,0
40,inuit,en,1,1,0,2
41,kaffir,en,1,0,0,1
42,lilliputian,en,1,1,0,2
43,low-income countries,en,0,0,0,0
44,madras,en,1,1,0,2
45,maroon,en,0,0,0,0
46,medicine man,en,0,0,0,0
47,mestizo,en,1,0,0,1
48,mohammedan,en,2,0,0,2
49,mongoloid,en,5,1,1,7
50,moor,en,1,0,0,1
51,mulatto,en,1,0,0,1
52,métis,en,0,0,0,0
53,native,en,4,0,5,9
54,negro,en,2,0,1,3
55,oriental,en,1,0,1,2
56,page,en,2,0,0,2
57,primitive,en,4,0,4,8
58,primitivism,en,2,0,0,2
59,pygmy,en,2,0,0,2
60,queer,en,2,0,0,2
61,race,en,1,0,1,2
62,retarded,en,2,1,2,5
63,roots,en,0,0,0,0
64,second world,en,0,0,0,0
65,servant,en,1,0,0,1
66,slave,en,1,0,0,1
67,southern rhodesia,en,0,0,0,0
68,third world,en,0,0,0,0
69,traditional,en,1,0,2,3
70,trans,en,0,0,0,0
71,transvestite,en,2,0,0,2
72,tribe,en,3,0,0,3
73,western,en,1,1,2,4
74,white,en,3,1,3,7
